id_tenant,sleep_schedule,work_shift,energy_rhythm,education_level,budget,languages_spoken,social_level,cleanliness_rating,likes_reading,likes_cooking,cooking_preference,on_diet,smoker,likes_pets,pet_allergy,frequent_visits,remote_worker,plays_sports,listens_loud_music,preferred_music_genre,ideal_weekend_plan,noise_tolerance,shares_common_items,relationship_status
1065,Night owl,Morning,High,Bachelor's,490,"Italian, English",Extrovert,2,Yes,No,Order,Yes,Yes,No,Yes,No,No,No,No,Classical,Party,Low,Yes,Relationship
1066,Night owl,Night,Low,PhD,468,"Italian, Spanish, German",Extrovert,5,No,Yes,Cook,Yes,No,No,Yes,Yes,No,Yes,Yes,None,Travel,Medium,Yes,Relationship
1067,Early bird,Night,Low,PhD,860,German,Extrovert,3,Yes,No,Cook,Yes,Yes,No,Yes,No,No,Yes,Yes,Reggaeton,Travel,High,No,Relationship
1068,Flexible,Morning,Low,PhD,988,German,Balanced,3,No,Yes,Cook,No,No,Yes,Yes,Yes,No,No,Yes,Techno,Family Time,Medium,No,Single
1069,Night owl,Morning,High,High School,828,"French, Spanish, English",Balanced,3,Yes,Yes,Order,Yes,No,Yes,No,No,No,Yes,Yes,Classical,Hike,Medium,Yes,Single
1070,Night owl,Afternoon,Low,Master's,915,"French, Italian",Extrovert,2,No,Yes,Cook,Yes,Yes,Yes,No,Yes,No,No,No,Jazz,Hike,High,No,Single
1071,Flexible,Morning,Medium,High School,1075,"German, French, English",Introvert,4,No,Yes,Order,Yes,No,Yes,Yes,No,No,Yes,Yes,Reggaeton,Chill,High,Yes,Single
1072,Flexible,Night,High,PhD,487,"Spanish, Italian",Introvert,5,Yes,No,Cook,Yes,Yes,Yes,No,No,No,No,Yes,None,Chill,Low,No,Relationship
1073,Night owl,Afternoon,Medium,High School,1044,"French, German, English",Extrovert,3,Yes,No,Order,Yes,No,Yes,No,Yes,No,Yes,No,Rock,Party,High,Yes,Single
1074,Flexible,Night,Low,High School,679,"French, English, Italian",Introvert,5,No,Yes,Cook,Yes,Yes,No,Yes,Yes,No,No,Yes,Jazz,Hike,Low,No,Single
1075,Flexible,Morning,Medium,Bachelor's,866,"English, French, Italian",Balanced,1,No,Yes,Order,Yes,Yes,No,Yes,No,Yes,No,Yes,Jazz,Family Time,Low,No,Relationship
1076,Night owl,Afternoon,Medium,Bachelor's,613,"French, German, Spanish",Extrovert,5,Yes,No,Order,Yes,Yes,Yes,Yes,No,Yes,No,Yes,None,Hike,High,Yes,Relationship
1077,Early bird,Afternoon,Medium,Master's,668,"French, Italian, German",Introvert,4,Yes,Yes,Cook,No,No,Yes,No,No,Yes,No,No,None,Hike,Low,Yes,Relationship
1078,Night owl,Night,Medium,Bachelor's,427,"German, Italian, French",Balanced,1,No,Yes,Cook,Yes,Yes,No,Yes,No,Yes,Yes,No,Rock,Party,Low,Yes,Relationship
1079,Early bird,Morning,Low,Master's,1057,"French, English",Introvert,2,No,No,Cook,Yes,No,No,Yes,Yes,Yes,No,No,None,Hike,Low,Yes,Single
1080,Night owl,Morning,Low,PhD,1052,English,Extrovert,5,No,Yes,Cook,No,No,No,Yes,No,Yes,Yes,No,None,Family Time,Medium,No,Single
1081,Flexible,Afternoon,High,High School,793,"English, French, Spanish",Introvert,5,Yes,No,Cook,No,Yes,Yes,Yes,Yes,Yes,No,No,None,Family Time,Low,Yes,Single
1082,Night owl,Afternoon,Low,High School,960,"French, German, Spanish",Introvert,4,No,Yes,Cook,No,No,No,Yes,Yes,No,No,Yes,Rock,Family Time,Low,Yes,Relationship
1083,Flexible,Morning,Medium,High School,553,"French, English, Spanish",Introvert,3,Yes,Yes,Cook,Yes,Yes,Yes,No,Yes,No,No,No,Reggaeton,Chill,High,No,Single
1084,Early bird,Morning,Medium,PhD,607,French,Extrovert,4,Yes,No,Cook,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Rock,Travel,Low,Yes,Relationship
1085,Flexible,Morning,High,High School,1198,"German, Italian, Spanish",Introvert,5,No,Yes,Order,No,No,No,No,No,Yes,No,Yes,Techno,Travel,Low,No,Relationship
1086,Early bird,Morning,Low,Master's,805,"Italian, Spanish, German",Introvert,4,No,No,Cook,No,Yes,No,No,No,Yes,No,No,None,Party,Low,Yes,Relationship
1087,Flexible,Night,Low,PhD,846,Italian,Introvert,3,No,Yes,Order,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Techno,Hike,High,Yes,Single
1088,Flexible,Afternoon,High,Bachelor's,621,"French, German, Spanish",Extrovert,4,Yes,No,Cook,No,No,Yes,No,No,Yes,Yes,Yes,Classical,Chill,Low,No,Relationship
1089,Early bird,Afternoon,Medium,Bachelor's,857,Italian,Introvert,3,No,Yes,Cook,No,No,Yes,Yes,Yes,No,No,Yes,Reggaeton,Hike,Low,No,Single
1090,Flexible,Afternoon,Low,Master's,556,"French, German, Italian",Balanced,3,No,Yes,Cook,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Reggaeton,Party,Low,Yes,Relationship
1091,Night owl,Night,High,High School,592,"English, German",Introvert,5,No,No,Cook,Yes,No,Yes,No,No,Yes,No,Yes,Reggaeton,Chill,Low,Yes,Relationship
1092,Night owl,Morning,Low,High School,662,"Spanish, English, Italian",Introvert,5,No,No,Cook,Yes,No,No,Yes,No,Yes,Yes,Yes,Techno,Chill,Medium,Yes,Relationship
1093,Flexible,Afternoon,High,High School,950,"French, Spanish, English",Extrovert,5,Yes,No,Order,Yes,Yes,No,Yes,No,No,Yes,No,Classical,Chill,High,Yes,Relationship
1094,Night owl,Afternoon,Low,Bachelor's,1017,English,Introvert,3,No,No,Cook,No,Yes,No,Yes,Yes,No,Yes,No,Jazz,Chill,Low,No,Single
1095,Flexible,Night,High,High School,555,"German, Italian",Introvert,3,No,Yes,Order,Yes,Yes,No,Yes,Yes,No,No,Yes,Jazz,Family Time,Low,No,Single
1096,Night owl,Afternoon,Low,Bachelor's,374,Italian,Extrovert,5,No,Yes,Cook,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Pop,Party,High,Yes,Relationship
1097,Flexible,Morning,Low,Bachelor's,1020,"English, Italian, German",Introvert,2,Yes,No,Order,No,No,Yes,Yes,No,No,No,No,Techno,Chill,Low,Yes,Single
1098,Night owl,Morning,Medium,High School,616,"French, Italian, Spanish",Balanced,5,No,Yes,Cook,No,No,No,No,No,Yes,No,No,Classical,Family Time,Low,Yes,Single
1099,Early bird,Morning,High,High School,1082,Italian,Extrovert,3,No,Yes,Order,No,Yes,No,No,Yes,Yes,Yes,No,None,Travel,High,Yes,Relationship
1100,Night owl,Morning,Medium,Master's,947,French,Extrovert,5,No,No,Order,No,Yes,Yes,No,Yes,No,Yes,Yes,Classical,Hike,Low,No,Single
1101,Night owl,Afternoon,Medium,High School,910,"German, Italian, Spanish",Introvert,3,Yes,No,Cook,Yes,Yes,No,No,Yes,No,Yes,No,Pop,Family Time,High,No,Single
1102,Early bird,Afternoon,Low,PhD,365,"German, Italian",Balanced,3,Yes,Yes,Cook,No,No,No,No,Yes,Yes,Yes,Yes,Techno,Family Time,Medium,Yes,Relationship
1103,Night owl,Morning,Medium,High School,380,French,Introvert,3,No,Yes,Order,No,Yes,No,No,No,Yes,No,Yes,Techno,Chill,High,No,Single
1104,Flexible,Afternoon,Low,Master's,508,"German, French",Introvert,4,No,No,Cook,Yes,No,Yes,No,Yes,Yes,No,Yes,Pop,Chill,Medium,Yes,Single
1105,Night owl,Night,High,Bachelor's,579,"Spanish, German, Italian",Balanced,3,Yes,Yes,Cook,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,None,Party,Medium,No,Single
1106,Flexible,Night,Low,Master's,412,French,Balanced,3,No,Yes,Order,No,No,No,No,Yes,Yes,No,No,Reggaeton,Travel,High,Yes,Relationship
1107,Night owl,Morning,High,Master's,778,"English, French",Extrovert,4,No,Yes,Cook,Yes,Yes,No,Yes,Yes,No,No,No,Reggaeton,Travel,High,No,Relationship
1108,Flexible,Night,Low,PhD,954,"English, Italian, Spanish",Extrovert,2,No,No,Cook,No,Yes,Yes,Yes,No,No,No,No,Classical,Travel,Medium,Yes,Relationship
1109,Early bird,Morning,Low,Bachelor's,351,"Italian, Spanish, German",Balanced,2,Yes,No,Order,Yes,Yes,Yes,No,Yes,No,Yes,No,Pop,Travel,Low,No,Relationship
1110,Early bird,Morning,High,PhD,1103,"Spanish, German",Introvert,1,Yes,No,Order,Yes,Yes,No,Yes,No,Yes,No,No,None,Chill,Low,No,Single
1111,Flexible,Afternoon,Medium,Master's,1058,"English, French, Italian",Extrovert,4,No,Yes,Order,No,Yes,No,Yes,No,Yes,No,Yes,None,Family Time,Low,No,Single
1112,Night owl,Morning,Low,Master's,1122,"Italian, German",Balanced,4,No,No,Order,No,Yes,No,Yes,No,Yes,No,No,Rock,Party,Low,Yes,Single
1113,Flexible,Morning,Low,Master's,796,Spanish,Introvert,4,Yes,No,Order,Yes,No,No,Yes,Yes,No,No,No,Jazz,Chill,Medium,No,Relationship
1114,Night owl,Afternoon,Low,PhD,762,"French, Italian, English",Introvert,1,No,No,Order,No,Yes,No,Yes,Yes,Yes,No,No,Rock,Party,Low,Yes,Relationship
1115,Early bird,Night,Medium,High School,746,Spanish,Introvert,3,No,Yes,Order,Yes,No,No,Yes,No,No,No,Yes,None,Family Time,High,No,Single
1116,Night owl,Afternoon,High,PhD,1111,Italian,Balanced,2,Yes,Yes,Cook,No,No,Yes,No,No,Yes,No,Yes,Jazz,Chill,Medium,No,Single
1117,Night owl,Morning,High,Master's,1069,"German, English, Italian",Extrovert,2,Yes,No,Cook,Yes,No,Yes,No,Yes,No,Yes,No,Pop,Chill,High,Yes,Relationship
1118,Early bird,Morning,High,Bachelor's,1052,Spanish,Balanced,1,No,No,Order,No,No,Yes,No,Yes,No,No,Yes,Jazz,Travel,Medium,Yes,Single
1119,Early bird,Night,Low,High School,1047,Spanish,Balanced,5,No,No,Order,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Rock,Chill,High,No,Relationship
1120,Flexible,Afternoon,Medium,Master's,526,Spanish,Introvert,1,Yes,Yes,Cook,Yes,No,No,No,Yes,No,Yes,No,Techno,Chill,Medium,No,Single
1121,Night owl,Morning,Low,High School,1058,"English, Italian",Balanced,2,Yes,No,Cook,Yes,Yes,No,No,No,Yes,Yes,No,None,Hike,Medium,Yes,Single
1122,Early bird,Night,Medium,Bachelor's,700,"Spanish, Italian",Balanced,1,Yes,No,Cook,Yes,No,Yes,No,No,Yes,Yes,Yes,Reggaeton,Travel,Low,Yes,Relationship
1123,Flexible,Afternoon,Low,Master's,1186,"Spanish, Italian, German",Balanced,1,Yes,No,Order,Yes,Yes,No,Yes,No,No,Yes,No,None,Chill,High,Yes,Relationship
1124,Flexible,Afternoon,High,PhD,543,"English, Spanish, German",Extrovert,1,Yes,Yes,Order,Yes,No,No,No,Yes,Yes,Yes,No,Classical,Hike,Medium,No,Relationship
1125,Night owl,Night,Medium,Bachelor's,509,"Italian, English, Spanish",Extrovert,5,Yes,Yes,Order,No,No,No,Yes,No,No,Yes,Yes,Classical,Party,Medium,Yes,Single
1126,Early bird,Afternoon,High,High School,498,German,Introvert,4,Yes,No,Order,No,Yes,No,Yes,No,Yes,No,Yes,Techno,Hike,Medium,Yes,Relationship
1127,Flexible,Morning,High,Master's,1135,Italian,Extrovert,3,Yes,Yes,Order,No,Yes,No,No,Yes,Yes,No,No,None,Family Time,High,No,Single
1128,Early bird,Afternoon,High,Bachelor's,540,"French, English, Italian",Introvert,5,No,Yes,Cook,Yes,No,No,No,Yes,Yes,Yes,Yes,Jazz,Party,High,No,Single
1129,Flexible,Night,High,Master's,817,English,Balanced,1,No,Yes,Cook,No,No,No,No,Yes,No,Yes,Yes,None,Hike,Medium,Yes,Relationship
1130,Night owl,Afternoon,Medium,Bachelor's,355,Spanish,Introvert,5,Yes,Yes,Cook,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Classical,Travel,Low,No,Relationship
1131,Night owl,Afternoon,Low,Master's,500,French,Extrovert,4,Yes,Yes,Cook,No,No,No,Yes,No,Yes,Yes,Yes,Techno,Family Time,Low,Yes,Single
1132,Early bird,Morning,Medium,PhD,1034,English,Extrovert,5,No,Yes,Order,No,No,Yes,No,Yes,Yes,Yes,Yes,Techno,Hike,Low,Yes,Relationship
1133,Flexible,Afternoon,Medium,High School,363,"French, Italian",Introvert,4,Yes,Yes,Cook,No,Yes,Yes,Yes,No,No,Yes,Yes,Reggaeton,Hike,Medium,Yes,Single
1134,Night owl,Morning,Low,Master's,718,"French, Italian, English",Balanced,1,No,Yes,Cook,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rock,Chill,High,No,Single
1135,Night owl,Night,Low,High School,935,English,Balanced,1,No,No,Order,No,Yes,Yes,No,Yes,No,No,No,Pop,Family Time,High,No,Relationship
1136,Night owl,Morning,Low,PhD,758,"German, English",Balanced,5,No,No,Cook,Yes,No,Yes,Yes,No,Yes,No,No,Reggaeton,Travel,High,Yes,Single
1137,Early bird,Afternoon,Low,High School,374,"English, German, French",Introvert,5,Yes,No,Order,No,No,No,Yes,Yes,No,No,Yes,None,Chill,Medium,No,Single
1138,Early bird,Afternoon,High,PhD,781,German,Introvert,1,Yes,No,Cook,No,Yes,No,Yes,Yes,No,No,No,None,Hike,Low,Yes,Single
1139,Flexible,Night,Medium,Bachelor's,1045,"Italian, Spanish",Balanced,3,No,No,Order,No,Yes,Yes,No,Yes,Yes,No,No,Pop,Chill,High,Yes,Single
1140,Early bird,Night,Low,Bachelor's,524,"German, Italian",Introvert,3,Yes,No,Cook,No,Yes,No,Yes,No,No,No,Yes,Techno,Travel,Medium,No,Single
1141,Night owl,Morning,High,High School,934,"English, Italian",Extrovert,2,Yes,Yes,Cook,Yes,Yes,No,Yes,No,Yes,No,No,Classical,Party,High,Yes,Single
1142,Night owl,Morning,Medium,PhD,986,"Spanish, English, French",Balanced,4,Yes,No,Order,Yes,No,Yes,No,No,No,Yes,Yes,Jazz,Chill,High,Yes,Single
1143,Flexible,Afternoon,High,Bachelor's,735,"French, Spanish, Italian",Balanced,1,Yes,No,Order,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Techno,Chill,High,No,Single
1144,Early bird,Afternoon,High,PhD,738,Italian,Balanced,2,No,No,Order,No,Yes,No,No,No,Yes,Yes,No,Techno,Chill,Medium,Yes,Relationship
1145,Flexible,Afternoon,Medium,Master's,972,"Spanish, Italian",Introvert,1,No,No,Order,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Classical,Chill,Medium,No,Relationship
1146,Night owl,Morning,High,PhD,566,English,Extrovert,3,No,No,Order,Yes,No,Yes,No,Yes,No,Yes,Yes,Jazz,Chill,Medium,No,Single
1147,Flexible,Afternoon,Low,PhD,540,"Italian, French",Balanced,2,No,Yes,Cook,Yes,No,No,Yes,Yes,No,Yes,No,None,Chill,Low,Yes,Relationship
1148,Early bird,Morning,Medium,Master's,632,"Italian, English, German",Extrovert,4,Yes,No,Order,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Reggaeton,Travel,Medium,No,Relationship
1149,Night owl,Night,Low,Master's,393,"French, Spanish",Introvert,3,No,No,Cook,No,No,No,No,Yes,No,No,No,None,Family Time,High,No,Relationship
1150,Night owl,Afternoon,Low,High School,1053,"Spanish, English",Balanced,3,No,Yes,Cook,Yes,No,Yes,No,No,No,No,Yes,Pop,Travel,Low,Yes,Single
1151,Flexible,Night,High,Master's,402,"German, Spanish, French",Introvert,5,Yes,Yes,Order,No,No,Yes,Yes,No,Yes,Yes,No,Reggaeton,Family Time,Low,No,Relationship
1152,Early bird,Afternoon,Medium,PhD,413,Spanish,Introvert,2,No,Yes,Order,Yes,Yes,Yes,Yes,No,No,Yes,No,Techno,Chill,Low,No,Single
1153,Flexible,Night,Medium,Master's,967,"German, Spanish, French",Introvert,5,No,Yes,Order,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Reggaeton,Party,Low,Yes,Single
1154,Early bird,Night,Medium,Master's,1171,Spanish,Balanced,1,No,Yes,Order,No,Yes,No,No,No,No,Yes,Yes,Classical,Chill,Low,Yes,Single
1155,Night owl,Morning,High,Master's,892,"English, Spanish, German",Balanced,2,Yes,Yes,Cook,Yes,No,Yes,Yes,No,No,Yes,No,Techno,Family Time,Medium,No,Relationship
1156,Night owl,Night,High,High School,937,"French, German, Spanish",Extrovert,4,No,No,Cook,Yes,Yes,No,No,Yes,No,Yes,No,Pop,Family Time,Low,No,Relationship
1157,Night owl,Afternoon,Low,PhD,535,"English, Spanish",Introvert,2,Yes,No,Order,Yes,No,No,No,No,No,No,No,Pop,Chill,Medium,No,Single
1158,Night owl,Morning,Medium,High School,775,"English, German",Balanced,2,Yes,Yes,Cook,No,Yes,Yes,Yes,No,Yes,Yes,No,None,Hike,Low,No,Single
1159,Flexible,Night,High,High School,922,English,Balanced,3,No,No,Order,No,Yes,Yes,No,No,No,No,Yes,Pop,Family Time,High,Yes,Relationship
1160,Early bird,Afternoon,Medium,High School,568,"English, Spanish, Italian",Balanced,1,Yes,Yes,Cook,No,Yes,No,Yes,Yes,No,Yes,Yes,Pop,Party,Medium,Yes,Relationship
1161,Night owl,Morning,High,Bachelor's,383,"German, French, Italian",Extrovert,4,No,Yes,Order,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Techno,Chill,High,No,Relationship
1162,Flexible,Afternoon,Low,Bachelor's,794,French,Introvert,4,No,Yes,Order,No,Yes,Yes,No,No,Yes,No,Yes,Techno,Party,Medium,Yes,Relationship
1163,Early bird,Afternoon,Low,PhD,707,"German, Spanish",Balanced,5,No,No,Order,Yes,Yes,Yes,Yes,Yes,No,No,No,Jazz,Chill,Medium,No,Relationship
1164,Night owl,Afternoon,High,High School,869,Spanish,Introvert,3,No,Yes,Order,Yes,Yes,No,No,Yes,No,Yes,No,None,Party,Low,No,Relationship
1165,Flexible,Night,Medium,Bachelor's,697,"Spanish, Italian",Introvert,5,Yes,No,Order,Yes,No,Yes,Yes,No,Yes,Yes,No,None,Hike,Low,Yes,Relationship
1166,Night owl,Afternoon,High,Bachelor's,1178,"Italian, French, English",Balanced,4,Yes,Yes,Order,Yes,No,No,Yes,No,No,No,Yes,Techno,Travel,Medium,Yes,Relationship
1167,Flexible,Night,High,Bachelor's,491,"Italian, German",Balanced,5,No,Yes,Order,No,No,No,No,No,No,No,No,Reggaeton,Party,High,No,Single
1168,Night owl,Afternoon,High,Master's,643,"French, German, Italian",Introvert,2,Yes,Yes,Cook,No,No,Yes,Yes,Yes,Yes,No,Yes,Classical,Chill,Low,No,Relationship
1169,Flexible,Night,High,High School,380,"German, Italian, Spanish",Extrovert,3,Yes,Yes,Order,No,Yes,Yes,Yes,Yes,Yes,No,No,Rock,Chill,High,Yes,Single
1170,Flexible,Morning,Medium,Bachelor's,519,French,Extrovert,3,No,No,Cook,No,Yes,Yes,Yes,Yes,No,No,Yes,None,Hike,Medium,Yes,Relationship
1171,Flexible,Morning,High,High School,593,"Italian, Spanish",Introvert,2,No,Yes,Order,No,Yes,No,Yes,No,Yes,No,Yes,Classical,Hike,Medium,Yes,Single
1172,Flexible,Night,Low,PhD,1139,"Italian, French, German",Introvert,5,Yes,No,Cook,No,No,Yes,No,Yes,No,No,No,Rock,Party,Low,No,Relationship
1173,Flexible,Night,Low,Bachelor's,826,"Italian, French, German",Balanced,5,No,No,Cook,Yes,Yes,No,No,Yes,No,Yes,Yes,Classical,Travel,High,No,Relationship
1174,Flexible,Morning,Medium,Master's,1187,Spanish,Balanced,4,No,No,Cook,Yes,No,Yes,Yes,Yes,No,Yes,No,Classical,Party,Low,Yes,Relationship
1175,Flexible,Night,High,Master's,1023,"Italian, English, Spanish",Extrovert,1,No,Yes,Order,Yes,No,No,No,No,No,No,Yes,Techno,Party,Medium,Yes,Relationship
1176,Early bird,Morning,Medium,High School,850,"Italian, Spanish",Balanced,2,No,No,Order,Yes,Yes,Yes,No,Yes,No,No,No,Jazz,Family Time,High,Yes,Single
1177,Night owl,Morning,High,Master's,1150,German,Balanced,3,Yes,Yes,Cook,No,Yes,No,No,No,Yes,Yes,Yes,Reggaeton,Party,Low,Yes,Relationship
1178,Flexible,Afternoon,High,High School,1129,Italian,Balanced,4,Yes,Yes,Cook,No,Yes,No,Yes,Yes,Yes,Yes,No,Pop,Travel,High,Yes,Relationship
1179,Flexible,Afternoon,Low,PhD,486,"Italian, French, English",Balanced,5,No,Yes,Cook,Yes,No,Yes,No,Yes,No,Yes,Yes,Techno,Chill,High,Yes,Single
1180,Night owl,Afternoon,Medium,Master's,736,"English, French",Introvert,5,No,Yes,Cook,No,No,No,Yes,Yes,No,No,Yes,Reggaeton,Travel,Low,No,Relationship
1181,Flexible,Morning,Medium,Master's,1067,French,Balanced,4,Yes,Yes,Cook,No,No,No,Yes,No,Yes,Yes,Yes,Pop,Family Time,Low,Yes,Relationship
1182,Flexible,Afternoon,Medium,Master's,402,"English, Spanish, Italian",Extrovert,2,No,No,Order,No,No,Yes,Yes,No,Yes,No,No,Rock,Family Time,Medium,No,Single
1183,Night owl,Afternoon,Low,Master's,1118,"Italian, French, German",Balanced,2,No,No,Order,No,Yes,Yes,Yes,No,No,Yes,No,Techno,Hike,Medium,No,Single
1184,Early bird,Afternoon,Low,Master's,994,"English, Spanish, German",Introvert,3,No,No,Order,Yes,No,Yes,No,Yes,Yes,No,No,Classical,Chill,Low,Yes,Relationship
1185,Early bird,Night,Low,PhD,644,German,Extrovert,4,No,No,Order,No,Yes,Yes,No,No,Yes,Yes,No,Classical,Party,Low,No,Relationship
1186,Flexible,Night,High,High School,562,"Spanish, French, German",Extrovert,1,Yes,Yes,Order,No,Yes,Yes,Yes,Yes,No,No,No,Classical,Chill,Low,No,Relationship
1187,Night owl,Night,Low,Bachelor's,921,"Italian, French, Spanish",Extrovert,1,No,Yes,Order,Yes,Yes,No,No,No,Yes,Yes,Yes,Rock,Party,High,Yes,Relationship
1188,Early bird,Morning,High,Master's,825,Italian,Balanced,3,Yes,No,Cook,No,Yes,No,Yes,No,No,Yes,No,Reggaeton,Chill,Low,Yes,Relationship
1189,Early bird,Afternoon,Medium,PhD,757,"Italian, French",Introvert,4,No,Yes,Order,No,No,No,No,No,No,No,No,Classical,Travel,Medium,Yes,Single
1190,Flexible,Afternoon,High,PhD,447,"German, English",Introvert,3,No,No,Order,No,Yes,No,Yes,No,Yes,Yes,No,Rock,Travel,Medium,No,Relationship
1191,Early bird,Morning,Low,Bachelor's,862,"Spanish, French, Italian",Extrovert,5,Yes,Yes,Cook,No,No,Yes,Yes,Yes,Yes,No,No,None,Party,Medium,No,Single
1192,Night owl,Morning,Medium,High School,497,German,Introvert,3,Yes,No,Order,Yes,No,No,No,No,Yes,No,No,Reggaeton,Hike,High,Yes,Single
1193,Night owl,Afternoon,Low,Master's,490,French,Balanced,2,No,No,Order,No,No,No,No,Yes,Yes,Yes,No,Reggaeton,Party,High,No,Single
1194,Night owl,Afternoon,High,High School,602,"German, English",Balanced,3,Yes,Yes,Cook,No,No,Yes,Yes,Yes,Yes,Yes,No,Rock,Hike,High,Yes,Relationship
1195,Flexible,Afternoon,Low,Bachelor's,1082,"English, French, Spanish",Balanced,4,No,No,Order,Yes,No,No,No,No,Yes,No,No,Classical,Hike,High,Yes,Single
1196,Flexible,Night,Medium,High School,444,"Italian, French",Balanced,4,Yes,No,Order,Yes,No,No,No,Yes,Yes,Yes,No,Reggaeton,Party,Medium,Yes,Single
1197,Night owl,Night,Medium,Bachelor's,966,"French, Spanish, English",Extrovert,4,No,No,Cook,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Classical,Travel,Low,Yes,Single
1198,Early bird,Morning,Low,Bachelor's,471,"French, German",Balanced,1,No,Yes,Cook,No,No,Yes,Yes,Yes,Yes,Yes,No,Classical,Family Time,High,Yes,Single
1199,Night owl,Afternoon,High,Master's,630,"English, German",Introvert,3,No,No,Cook,No,No,No,Yes,No,No,Yes,Yes,Techno,Chill,Medium,Yes,Single
1200,Flexible,Morning,Medium,Master's,971,"French, English, Italian",Balanced,1,Yes,No,Cook,Yes,Yes,Yes,No,No,No,No,Yes,None,Chill,Medium,Yes,Relationship
1201,Early bird,Night,Low,PhD,682,"French, Italian, German",Balanced,1,Yes,No,Cook,Yes,Yes,No,No,Yes,No,Yes,Yes,None,Travel,High,No,Single
1202,Night owl,Night,Low,PhD,1183,German,Introvert,5,Yes,No,Cook,Yes,No,Yes,Yes,Yes,No,Yes,Yes,None,Travel,Medium,Yes,Relationship
1203,Night owl,Afternoon,High,PhD,868,"English, French",Introvert,3,Yes,No,Cook,Yes,Yes,No,No,No,Yes,No,Yes,Reggaeton,Chill,High,No,Relationship
1204,Flexible,Night,Medium,High School,571,Spanish,Balanced,3,Yes,Yes,Cook,Yes,Yes,No,Yes,No,Yes,No,No,Techno,Family Time,Medium,Yes,Relationship
1205,Early bird,Afternoon,Low,Master's,496,"English, German",Balanced,5,No,No,Order,Yes,No,No,No,Yes,No,No,No,Pop,Party,Medium,No,Single
1206,Early bird,Afternoon,High,Master's,995,"Spanish, English, Italian",Introvert,3,No,No,Order,No,Yes,Yes,No,Yes,Yes,Yes,No,Techno,Family Time,Low,No,Single
1207,Flexible,Morning,Medium,PhD,922,Italian,Introvert,1,Yes,Yes,Cook,No,No,No,Yes,Yes,No,No,No,Jazz,Chill,Low,Yes,Relationship
1208,Early bird,Morning,Medium,Master's,1190,"English, Italian, French",Balanced,3,No,No,Cook,No,No,Yes,Yes,Yes,Yes,Yes,No,Classical,Party,High,No,Relationship
1209,Night owl,Night,Medium,Bachelor's,441,English,Balanced,2,Yes,Yes,Cook,No,No,Yes,No,No,No,No,No,Rock,Party,Medium,Yes,Single
1210,Early bird,Afternoon,Low,High School,422,"Spanish, English",Extrovert,2,Yes,Yes,Cook,No,Yes,No,No,Yes,Yes,Yes,No,Reggaeton,Family Time,High,No,Single
1211,Early bird,Morning,Low,Bachelor's,664,Spanish,Extrovert,5,Yes,Yes,Order,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Rock,Travel,High,No,Single
1212,Early bird,Morning,High,Bachelor's,962,"German, English, Spanish",Balanced,2,Yes,No,Order,No,No,Yes,No,No,No,No,Yes,Pop,Hike,Low,Yes,Relationship
1213,Early bird,Afternoon,Medium,PhD,552,"German, Spanish, Italian",Introvert,4,Yes,No,Cook,Yes,No,Yes,Yes,Yes,No,Yes,No,Reggaeton,Chill,Medium,No,Relationship
1214,Flexible,Morning,Low,High School,1121,"Italian, French, English",Balanced,1,Yes,Yes,Cook,No,Yes,Yes,No,Yes,No,No,Yes,None,Family Time,Low,Yes,Single
1215,Early bird,Afternoon,High,PhD,1188,"English, Spanish",Balanced,1,Yes,No,Cook,No,No,No,No,No,Yes,Yes,No,Techno,Hike,High,Yes,Single
1216,Night owl,Afternoon,Low,Bachelor's,1008,"Spanish, French, Italian",Balanced,4,Yes,Yes,Cook,Yes,Yes,No,No,Yes,Yes,Yes,No,Reggaeton,Family Time,High,Yes,Single
1217,Early bird,Morning,Medium,Bachelor's,871,German,Introvert,1,No,No,Cook,No,No,No,No,Yes,Yes,No,Yes,Classical,Party,Medium,No,Single
1218,Early bird,Morning,Medium,Bachelor's,1172,"French, Italian",Extrovert,1,Yes,Yes,Cook,Yes,No,No,Yes,Yes,No,No,Yes,Jazz,Travel,Medium,No,Relationship
1219,Early bird,Morning,Low,High School,1064,"German, Italian, French",Extrovert,5,No,Yes,Order,Yes,No,Yes,Yes,Yes,Yes,No,No,Jazz,Party,Medium,No,Single
1220,Early bird,Afternoon,High,PhD,542,"French, English",Extrovert,2,No,No,Cook,No,Yes,No,Yes,Yes,No,No,No,Reggaeton,Party,High,Yes,Relationship
